| Nombre | Modelo | DESCRIPCION | PRECIO |
| Cerradura Digital Exterior Yale Teclado Táctil | MX89997 | CERRADURA DIGITAL PARA EXTERIORES / TECLADO DIGITAL TÁCTIL / CONTROL REMOTO APP YALE / COMPATIBLE ZIGBEE-Z WAVE PLUS / RESISTENTE INTEMPERIE / HASTA 250 USUARIOS / BATERÍAS AA | 5023.41 |
| Ventilador Techo con Luminario LED 40W 3 Tonos | JLV-0112 | VENTILADOR DE TECHO CON LUMINARIO LED DE 110 V CA 50/60 HZ / 40 W / 3 TONOS DE LUZ (6500 - 4 000 - 2 700 K) / DIÁMETRO 250 MM / 3 VELOCIDADES / DIMEABLE. | 160.21 |
| Cámara Bala Hikvision 2MP Dual Light AcuSense Lite | DS-2CD1023G2-LIU(F) | [DUAL LIGHT] BALA IP 2 MEGAPIXEL / LENTE 2.8 MM / 30 MTS IR + 30 MTS LUZ BLANCA / MICRÓFONO INTEGRADO / ACUSENSE LITE / EXTERIOR IP67 / H.265 / POE / ONVIF / MICRO SD | 1712.77 |
| UHF Tag Adherible para Vehículo | ACCESSTAGV2 | UHF TAG ADHERIBLE TIPO ETIQUETA / EPC GEN 2 / SE ADHIERE AL CRISTAL DEL VEHÍCULO / COMPATIBLE CON LECTORAS DE LARGO ALCANCE PRO12RF Y PRO6RF | 75.02 |
| Batería 12V 5.5AH AGM-VRLA | LK5.512 | BATERÍA 12 VCC / 5.5 AH / UL / VIDA ÚTIL PROMEDIO 5 AÑOS / TECNOLOGÍA AGM-VRLA / PARA USO EN EQUIPO ELECTRÓNICO, ALARMAS DE INTRUSIÓN / INCENDIO/ CONTROL DE ACCESO / VIDEO VIGILANCIA / TERMINALES F1 ( INCLUYE ADAP | 267.38 |
| Bota Plástica Protección Plug RJ45 Blanca (LP-PG8-025-WB) | LP-PG8-025-WB | BOTA PLÁSTICA PARA PROTECCIÓN DE PLUG RJ45, COLOR BLANCO | 2.32 |
| Bota Plástica Protección Plug RJ45 Blanca (LP-PG8-025-WH) | LP-PG8-025-WH | BOTA PLÁSTICA PARA PROTECCIÓN DE PLUG RJ45, COLOR BLANCO | 1.72 |
| Disco Duro WD RE 3.5" 1TB SATA III 7200RPM | WD1003FBYZ | DISCO DURO INTERNO WESTERN DIGITAL WD RE 3.5, 1TB, SATA III, 6 GBIT/S, 7200RPM, 64MB CACHE. | 954.68 |
| Lector Proximidad con Teclado ZKTeco | SYS-KR602-EKB | LECTOR DE PROXIMIDAD CON TECLADO ZKTECO | 564.66 |
| Bocina con Lámpara Estroboscópica Roja | SPS-RL | BOCINA CON LÁMPARA ESTROBOSCÓPICA, MONTAJE EN PARED, COLOR ROJO, NUEVO DISEÑO MODERNO Y ELEGANTE Y MENOR CONSUMO DE CORRIENTE | 1967.00 |
| Módulo Transceptor Power G Host 128 Zonas | HSM2HOST4 | MÓDULO TRANSCEPTOR POWER G FUNCIÓN DE HOST SOPORTA 128 ZONAS INALÁMBRICAS COMPATIBLE CON PANEL NEO, PRO | 2364.31 |
| Placa 3 Módulos con Receptáculo Dúplex Blanco | 100-6288WP | PLACA 3 MÓDULOS CON RECEPTACULO DÚPLEX BLANCO, ROYER 100 | 87.35 |
| DVR 16 Canales TurboHD + 8IP 5MP Lite Exir | EX-5016TURBO | DVR 16 CANALES TURBOHD + 8 CANALES IP / 5 MEGAPIXEL LITE - 3K LITE / AUDIO BIDIRECCIONAL POR COAXITRON / RECONOCIMIENTO FACIAL / ACUSENSE (EVISTA FALSAS ALARMAS) / 1 BAHÍA DE DISCO DURO / SALIDA DE VIDEO EN FULL HD | 3920.00 |
| Switch PoE+ No Administrable 24 Puertos 10/100 + 2 Gigabit | RG-ES126FGS-LP | SWITCH POE+ NO ADMINISTRABLE HASTA 180W IDEAL PARA CCTV, 24 PUERTOS 10/100 Y2 UPLINKS GIGABIT, CARCASA METÁLICA | 2875.00 |
| Conector para Tubería PVC Conduit Pesado 1/2" | ATUP-12-CON | CONECTOR PARA TUBERÍA PVC CONDUIT PESADO DE 1/2" (13 MM). | 9.00 |
| Cámara Bala HiLook 4MP Lente 2.8mm | IPC-B140HA-U | HILOOK SERIES / BALA IP 4 MEGAPIXEL / LENTE 2.8 MM / 30 MTS IR / MICRÓFONO INTEGRADO / EXTERIOR IP67 / POE / DWDR / H.265+ / ONVIF | 1570.14 |
| Cámara Turret PT TurboHD 2MP Dual Light + ColorVu + Audio | THC-T127-PTLTS | [AUDIO BIDIRECCIONAL + DUAL LIGHT + COLORVU] TURRET PT TURBOHD 2 MEGAPIXEL (1080P) / LENTE 3.6 MM / 25 MTS IR EXIR + 20 MTS LUZ BLANCA / MICRÓFONO Y BOCINA INTEGRADO / EXTERIOR IP67 / DWDR | 815.17 |
| Servicio de Envío | PAQ1620221 | SERVICIO DE ENVIO | 1068.32 |
| Repetidor Señal AX-PRO Hikvision | DSPR1WB | REPETIDOR DE SEÑAL HIKVISION PARA SERIE AX-PRO | 1373.52 |
| Conector para Exterior Compatible C7/Adapt. Red | DSPLUGEXTN | CONEC. P/EXTER. COMPATIBLE C7ADAPT. RED COMPATIBLE EPCOM Y HIKVISION | 6.34 |
| Servicio Vías de Embarque Terrestre | ENVIOGRATIS | SERVICIO DE VIAS DE EMBARQUE TERRESTRE | 165.27 |
| Switch No Administrable 6 Puertos 10/100 (4 PoE) | WIPS205 | SWITCH NO ADMINISTRABLE 6 PUERTOS 10/100MBPS (4 PUERTOS POE) | 562.84 |
| Terminal Acceso IP65 IK08 Lector Mifare Teclado WiFi Bluetooth | DSK1-T8015MB-FWX | TERMINAL DE ACCESO IP65 IK08 CON LECTOR MIFARE, TECLADO WIFI Y BLUETOOTH. | 1692.53 |
| Kit Transmisor-Receptor Inalámbrico 12VCC 2500m | SFLORAKITDC | APLICACIONES DE ALTA EXIGENCIA / KIT DE TRANSMISOR - ALIMENTACIÓN A 12VCC / RECEPTOR INALÁMBRICO / DISTANCIA MÁXIMA DE TRANSMISIÓN 2500 METROS (LINEA DE VISTA) | 2077.48 |
| Gabinete Derivación Plástico 10x10x5.4cm | PST-1010ER | GABINETE DETIVACION PLASTIVO 10MM ANCHO X 10MM ALTO X 54MM PROFUNDIDAD CON 6 GLANDULAS DE GOMA | 62.50 |
| Ventilador Techo con Luminario LED 40W 110V | JVL0112 | VENTILADOR D/TECHO C/LUMINATORIO LED 40 W 110 V | 197.72 |
| Altavoz Columna Metálico Exterior 30W-60W IP66 | EP902 | ALTAVOZ TIPO COLUMNA METÁLICA PARA EXTERIOR DE 30W - 60W - IP66 | 2624.35 |
| Cable Audio Profesional 2 Conductores 18AWG Bobina 152m | PRO-AUDIO | CABLE PARA AUDIO PROFESIONAL DE 2 CONDUCTORES CALIBRE 18 PARA APLICACIONES DE AUDIO Y AUTOMATIZACIÓN BOBINA DE 152 M | 1849.14 |
| SSD 500GB para Videovigilancia 24/7 | V300X/500GB | SSD PARA VIDEOVIGILANCIA / UNIDAD DE ESTADO SÓLIDO / 500 GB / 2.5" / ALTO PERFORMANCE / USO 24/7 / COMPATIBLE CON DVR´S Y NVR´S EPCOM / HILOOK Y HIKVISION (SELECCIONADOS) | 1209.00 |
| Kit Amplificador 120W para Escritorio 4 Altavoces Pared | SFB120/4WS | KIT DE AMPLIFICADOR DE 120W PARA ESCRITORIO 4 ALTAVOCES DE PARED COLOR NEGRO 2.5W - 20W SISTEMA 70/100V | 13164.44 |
| Altavoz Pared 2 Vías 4" Woofer 70/100V 8 Ohms | SF-774H | ALTAVOZ DE PARED DE 2 VÍAS  WOOFER 4IN + 1.5IN 70/100V Y 8 OHMS  1.25W-2.5W-5W-10W-20W 86DB DE SENSIBILIDAD A PRUEBA DE HUMEDAD COMPATIBLE CON SISTEMAS DE ALTA Y BAJA IMPEDANCIA | 1547.59 |
| Mini Amplificador Mezclador Audio 240W RMS Bluetooth | SF-B240 | MINI AMPLIFICADOR DE AUDIO MEZCLADOR 240W RMS SISTEMA 70/100V  MP3  TUNER  BLUETOOTH  MUSICA AMBIENTAL Y VOCEO | 8012.41 |
| Mini Amplificador Mezclador Audio 120W RMS Bluetooth | SF-B120 | MINI AMPLIFICADOR DE AUDIO MEZCLADOR  120W RMS SISTEMA 70/100V MP3 TUNER  BLUETOOTH  MUSICA AMBIENTAL Y VOCEO. | 6874.53 |
| NVR Hikvision 32 Canales IP 2 Bahías AcuSearch | DS-7632NXI-K2(D) | [ACUSEARCH] NVR 12 MEGAPIXEL (4K) / 32 CANALES IP / ACUSENSE (EVITA FALSAS ALARMAS) / RECONOCIMIENTO FACIAL / 2 BAHÍAS DE DISCO DURO / HDMI EN 4K / SIN PUERTOS POE+ | 5551.73 |
| Metro Cerco Electrificado 3 Líneas Acero Inox | METCER3L | METRO DE CERCO ELECTRIFICADO A 3 LINEAS, ALAMBRADO ACERO INOXIDABLE, POSTE DE ACERO CEDULA 30 EN BLANCO O NEGRO | 220.00 |
| Cámara Bala HiLook 4MP Lente 2.8mm 20m IR | IPC-B141H-C | HILOOK SERIES / BALA IP 4 MEGAPÍXEL / LENTE 2.8 MM / 20 MTS IR / EXTERIOR IP67 / POE / DWDR / + / ONVIF | 1287.27 |
| UPS On-Line 3000VA/2700W Rack/Torre | EPU3000G3 | UPS DE 3000VA/2700W / TOPOLOGÍA ON-LINE DOBLE CONVERSIÓN CON BATERÍAS INTERNAS / ENTRADA Y SALIDA DE 120 VCA / CLAVIJA DE ENTRADA NEMA L5-30P / PANTALLA LCD CONFIGURABLE / FORMATO RACK/TORRE | 10655.22 |
| Módulo Baterías Externo para UPS EPU3000G3 | EPU6PACKRT2U | MÓDULO DE BATERÍAS EXTERNO PARA AUMENTAR EL TIEMPO DE RESPALDO DEL UPS EPU3000G3 | 5714.22 |
| Cerradura de Pernos Montaje Superficial | PROEB500S | CERRADURA DE PERNO DE MONTAJE SUPERFICIAL, FÁCIL INSTALACIÓN. | 1399.86 |
| Cámara PT POE Ezviz 3MP Seguimiento Inteligente | CS-H8C/3MP/POE | CÁMARA PT POE / 3 MEGAPIXEL / POE / MOVIMIENTO PANORÁMICO DE 360° / PRESET / SEGUIMIENTO INTELIGENTE / DETECCIÓN HUMANA / AUDIO DE DOS VÍAS | 1176.34 |
| Cámara Bala Hikvision 4MP Dual Light DarkFighter S | DS-2CD3T46G2H-LIS | BALA IP 4 MEGAPIXEL / LENTE 4 MM / DUAL LIGHT (60 MTS IR + 60 MTS LUZ BLANCA ) / DARKFIGHTER S / EXTERIOR IP67 / WDR 130 DB / 4 ANALÍTICOS: ACUSENSE, DETECCION FACIAL, CONTEO DE PERSONAS POR CRUCE Y ZONA | 5489.28 |
| Switch GigaBit PoE+ Administrable 16 Puertos PoE+ 230W | DS-3E1518P-EI | SWITCH GIGABIT POE+ / ADMINISTRABLE / 16 PUERTOS 1000 MBPS POE+ / 1 PUERTO 1000 MBPS DE UPLINK / 1 PUERTO SFP / CONFIGURACIÓN NUBE DESDE HIK-PARTNER PRO / MODO EXTENDIDO HASTA 300 METROS / 230 WATTS | 4670.35 |
| Cámara Bala Hikvision 6MP Lente Motorizado Dual Light 2 Micrófonos | DS-2CD2663G2-LIZS2U | [DUAL LIGHT + 2 MICRÓFONOS INTEGRADOS] BALA IP 6 MEGAPIXEL / LENTE MOT. 2.8 A 12 MM / 60 MTS LUZ BLANCA + 60 MTS IR / EXTERIOR IP67 / IK10 / WDR 120 DB / POE+ / ACUSENSE / ALARMAS I/O / MICRO SD / ONVIF / METAL / ACUSEARCH | 5122.86 |
| Charola Tipo Malla 54/200mm 3m EZ | CH-54-200EZ | CHAROLA TIPO MALLA 54/200 MM, ACABADO ELECTRO ZINC, HASTA 172 CABLES CAT6, TRAMO DE 3 METROS | 859.47 |
| Ménsula Omega Tipo L Inteligente 310mm Ancho EZ | MG-60-102EZ | MÉNSULA OMEGA TIPO L INTELIGENTE, 310 MM DE ANCHO, CON ACABADO ELECTRO ZINC | 315.09 |
| Clip Automático Mediano para Charola Malla 100-300mm | CH-CLIPAUTM-EZ | CLIP AUTOMÁTICO MEDIANO PARA UNIR TRAMOS DE CHAROLA TIPO MALLA DE 100 HASTA 300 MM DE ANCHO, COMPATIBLE CON TODOS LOS PERALTES, ACABADO ELECTROZINCADO | 60.09 |
| Servidor Hik-Central Professional i5 32 Cámaras 4 Puertas | HCWS/HW5L/32C(C) | SERVIDOR PARA HIK-CENTRAL PROFESSIONAL / INCLUYE LICENCIAS DE 32 CÁMARAS Y 4 PUERTAS / INTEL® CORE™ I5-12500 / 64 BITS / ALTO DESEMPEÑO / DISEÑO COMPACTO / CRECIMIENTO HASTA 128 CANALES | 68623.14 |
| Cable DisplayPort 1.2 Macho a Macho 5m 4K@60Hz | 10213 | CABLE DISPLAYPORT 1.2 MACHO A MACHO/ LONGITUD 5M / VERSIÓN DP1.2 / SOPORTA 4K@60HZ; 2K@144HZ / SOPORTA 3D / COLOR PROFUNDO DE 8 Y 10 BITS / BLINDAJE INTERNO MÚLTIPLE / COBRE ESTAÑADO 28AWG / BOTÓN DE LIBERACIÓN | 300.13 |
| Convertidor DisplayPort a HDMI 4K 3D HDR 25cm | 40363 | CONVERTIDOR DISPLAYPORT A HDMI 4K 3D  HDR  BLINDAJE INTERNO  BOTÓN LIBERADOR  CARCASA DE ABS  PLUG & PLAY  CE, FCC, ROHS  CABLE DE 25 CM. | 274.53 |
| Gabinete Pared 12U 635mm Profundidad | SR-1912-GN2P | GABINETE DE PARED 12U DE 635 MM DE PROFUNDIDAD, RACK DE 19'' EN ACERO REFORZADO: COMPACTO Y RESISTENTE PARA SOLUCIONES PROFESIONALES | 5980.45 |
| Botón Pánico Enclavado Restablecimiento Manual con Llave | SS-078Q | BOTÓN DE PÁNICO ENCLAVADO / RESTABLECIMIENTO MANUAL CON LLAVE / NORMALMENTE ABIERTO / CUBIERTA METÁLICA / | 390.00 |
| Extensión Eléctrica Doméstica | SYS-136143 | EXTENSIÓN ELÉCTRICA DOMÉSTICA | 68.00 |
| Cargador USB-C 20W Carga Rápida | HS-FC20-A1C01A | CARGADOR USB - C DE 20 WATTS / CARGA RAPIDA / 5 VCD A 3 AMP / 9 VCD A 2.22 AMP / COMPATIBLE CON MULTIPLES MARCAS | 99.50 |
| Cable USB-C a USB-C 1m Carga Rápida 60W | HS-HUB-CBC2C | CABLE USB-C A USB-C / 1 METRO / IDEAL PARA CELULARES ANDROID / CARGA RÁPIDA 3 AMP / CARGA Y SINCRONIZACIÓN DE DATOS / 480 MBPS / 60 WATTS | 25.96 |
| Torniquete Trípode Bidireccional Semiautomático | TS2200PRO | TORNIQUETE TRÍPODE DOBLE CARRIL BIDIRECCIONAL / SEMIAUTOMÁTICO / ACERO INOXIDABLE / INDICADORES LED / 110V / EXTERIOR PROTEGIDO / REQUIERE LECTORES Y PANEL | 41755.73 |
| Torniquete Automático Industrial Servo Motor WJTS213 | WJTS213 | TORNIQUETE AUTOMÁTICO INDUSTRIAL SERVO MOTOR 3M CICLOS BIDIRECCIONAL ALTO FLUJO ACERO INOXIDABLE LED SIN CONTACTO SEMI-EXTERIOR | 10604.10 |
| UPS Línea Interactiva 1500VA/1500W Onda Senoidal Pura | PR1500RTXL2U | UPS DE 1500 VA/1500 W, TOPOLOGÍA LÍNEA INTERACTIVA, ENTRADA 120 VCA NEMA 5-15P, ONDA SENOIDAL PURA, TORRE O RACK 2 UR, CON 8 TOMAS NEMA 5-15R | 20416.80 |
| Módulo Baterías Externas para UPS Serie PR | BP48VP2U02 | MÓDULO DE BATERÍAS EXTERNAS PARA EXTENSIÓN DE TIEMPO DE RESPALDO, COMPATIBLE CON UPS: PR1500RTXL2U, PR2200RTXL2U Y PR3000RTXL2U | 15417.50 |
| Kit Videoportero IP + Carcasa Protectora 2MP POE | DS-KV6113-PE1(C)/K | KIT VIDEOPORTERO IP + CARCASA PROTECTORA 2 MEGAPIXEL / POE ESTANDAR / IP65 / APERTURA DESDE HIK-CONNECT / SOPORTA 1 DEPARTAMENTO Y HASTA 6 MONITORES / SOPORTA TARJETAS MIFARE / 1 SALIDA RELAY | 2649.14 |
| Montaje Pared con Caja Conexión para Cámara Fisheye DS2CD6 | DS-1283ZJ | MONTAJE DE PARED CON CAJA DE CONEXIÓN PARA CAMARA FISHEYE DS2CD6 | 159.48 |
| Comunicador Alarm.com para NEO vía IP y GPRS | TL880LEAT-LAT N | COMUNICADOR ALARM.COM PARA NEO VIA IP Y GPRS | 5766.58 |
| Poste para Cerco Electrificado 1m Tubo 3/4 Ced.30 | FENCEPOST3 | POSTE DE 1M FABRICADO EN TUBO CEDULA 30 DE 3/4 CON AISLANTES PARA FIJACIÓN DE ALAMBRE | 180.00 |
| UPS Línea Interactiva 600VA/360W | LP600L | UPS 600VA/360 W LÍNEA INTERACTIVA / 6 CONTACTOS 5-15R (4 RESPALDADAS) / REGULACIÓN DE VOLTAJE / PROTECCIÓN RJ45 | 1592.47 |
| Cámara Domo IP 4MP WiFi Hikvision | DS-2CV2141G2-IDW(E) | DOMO IP 4 MEGAPIXEL / LENTE 2.8 MM / 30 MTS IR / EXTERIOR IP66 / WI-FI / WDR 120 DB / SOPORTA MICRO SD / H.265+ / MICRÓFONO Y BOCINA INTERCONSTRUIDO | 1798.28 |
| Cámara Bala IP 4MP WiFi AcuSense Lite Hikvision | DS-2CV2041G2-IDW(W) | BALA IP 4 MEGAPIXEL / LENTE 2.8 MM / 30 MTS IR / EXTERIOR IP66 / WI-FI / ACUSENSE LITE / WDR 80 DB / H.265+ / MICRÓFONO Y AUDIO BIDIRECCIONAL (MICRÓFONO Y BOCINA) / MICRO SD / SE CONECTA DIRECTO A LA APP DE HIK-CONNECT | 1526.85 |
| Kit Energizador 12,000V 0.5J 500m Lineales | SYSNGHS-KIT | KIT DEENERGIZADOR 12,000VOLTS - .5 JOULES / 500 MTS LINEALES DE PROTECCIÓN / CERCAS ELECTRIFICADAS / LLAVERO INCLUIDO | 2299.25 |
| Kit Chapa Magnética 600LBS con Montajes | MAG600NLEDK | KIT PARA CONTROL DE ACCESO INCLUYE CHAPA MAGNÉTICA DE 600LBS / MONTAJES L Y Z | 1282.18 |
| Botón Salida Metálico Rectangular Hikvision | DS-K7P02 | BOTÓN DE SALIDA METÁLICO / FORMA RECTANGULAR / NORMALMENTE ABIERTO O CERRADO / ESTÉTICO / INTERIOR | 195.12 |
| Terminal Min Moe WiFi Huella, Facial, Tarjetas MIFARE | DS-K1T320MFWX-B | TERMINAL MIN MOE WIFI CON BATERÍA DE RESPALDO / ADMINISTRABLE POR SMARTPHONE O NUBE / ACCESO Y ASISTENCIA / HUELLA, FACIAL Y TARJETAS MIFARE / 500 ROSTROS Y 1,000 HUELLAS Y TARJETAS / DETECCIÓN DE CUBREBOCAS / HIK-CONNECT TEAMS | 1998.25 |
| Terminal Facial Min Moe WiFi Huella, Facial, Tarjetas MIFARE | DS-K1T321MFWX-B | TERMINAL FACIAL MIN MOE WIFI CON BATERÍA DE RESPALDO / ADMINISTRABLE POR SMARTPHONE O NUBE / ACCESO Y ASISTENCIA /500 ROSTROS Y LECTOR DE TARJETAS MIFARE / 3,000 HUELLAS / 3,000 TARJETAS | 2355.56 |
| Enchufe Escritorio Múltiples Contactos USB-C HDMI Ethernet | ENCHESCRIT | ENCHUFE ESCRITORIO CON MÚLTIPLES CONTACTO USB TYPEC HDMI NET | 856.90 |
| Kit Imanes para Límite de Paro de Operador | 63001035 | KIT DE IMANES PARA LÍMITE DE PARO DE OPERADOR | 1275.00 |
| Licencia HikCentral Professional 1 Canal Adicional | HC-P-VSS/1C | HIKCENTRAL PROFESSIONAL / LICENCIA AÑADE 1 CANAL ADICIONAL DE VIDEO (HIKCENTRAL-P-VSS-1CH) | 1150.00 |
| Servidor Hik-Central Professional i7 32 Cámaras 4 Puertas | HCWS/HW7L/32C(C) | SERVIDOR PARA HIK-CENTRAL PROFESSIONAL / INCLUYE LICENCIAS DE 32 CÁMARAS Y 4 PUERTAS / INTEL® CORE™ I7-12700 / 64 BITS / ALTO DESEMPEÑO / DISEÑO COMPACTO / CRECIMIENTO HASTA 256 CANALES | 98814.66 |
| Kit Puesta a Tierra LinkedPro 30A | LP-GROUND30A-KIT | KIT DE PUESTA A TIERRA LINKEDPRO, PARA PROTECCIÓN DE HASTA 30 AMP. | 9412.85 |
| Organizador Cables Horizontal 19" 2UR | TH-ORG-2UR | ORGANIZADOR DE CABLES HORIZONTAL DE 19", 2UR | 813.42 |
| Cámara Panovu 360° Hikvision 4 Lentes 16MP Total | DS-2CD6D44G1-IZS | PANOVU SERIES / VISTA PANORÁMICA 360º / 4 LENTES MOT. 2.8 A 8 MM (4 MEGAPIXEL POR LENTE) / 16 MEGAPIXEL EN TOTAL / WDR 120 DB / DARKFIGHTER / EXTERIOR IP67 / IK10 / POE+ / 30 MTS IR / MICRO SD | 25918.59 |
| Cable Sensor Micalert 2 Zonas 610m Total | MIC2Z1000V2 | MICALERT CABLE SENSOR PARA PAREDES, REJAS RIGIDAS O BARANDALES / 2 ZONAS DE 305 METROS / 610 METROS DE PROTECCIÓN TOTAL/TARJETA LPU400/CALIBRACIÓN VIA SOFTWARE | 105226.50 |
| Copla 1/2" Pared Delgada Galvanizada | JU-PD-12-COP | COPLE 1/2" (13MM) PARED DELGADA CON TORNILLO TIPO AMERICANO, GALVANIZADO - ETIQUETA VERDE | 22.85 |
| Conector 1/2" Pared Delgada Galvanizado | JU-PD-12-CON | CONECTOR 1/2" ( 13MM) PARED DELGADA CON TORNILLO TIPO AMERICANO GALVANIZADO ETIQUETA VERDE GALVANIZADO | 17.93 |
| Cable Doble Aislado para Cercas Electrificadas 100m (Bujía) | AWG100 | CABLE DOBLE AISLADO DE ALTA DURABILIDAD PARA CERCAS ELECTRIFICADAS BOBINA CON 100 MTS (CABLE BUJIA) | 38761.30 |
| Contacto Magnético Uso Rudo para Piso 70mm Brecha | SM226L3Q | CONTACTO MAGNÉTICO DE USO RUDO PARA PISO- 2-3/4 IN(70MM) BRECHA, BUCLE CERRADO/ABIERTO | 26451.63 |
| Caja Derivación Plástica 100x100x54mm | PST-1010-ER | CAJA DERIVACIÓN-CONEXIÓN DE PLÁSTICO (100 X 100 X 54 MM) CON 7 GLÁNDULAS DE GOMA. PARA INSTALACIONES COMERCIALES, RESIDENCIALES E INDUSTRIALES. INCLUYE TORNILLERÍA PARA SU TAPA. | 65.01 |
| Comunicador PowerSeries NEO Dual IP/LTE HSPA | TL280LE-LAT | COMUNICADOR POWERSERIES NEO DUAL: IP/LTE HSPA , CON APLICACIÓN "CONNECTALARM" #CER | 5055.11 |
| Domo PTZ IP 2MP 15x Zoom 100m IR | PTZ-N4215I-DE(H) | DOMO PTZ IP 2 MEGAPIXEL / 15X ZOOM / 100 MTS IR / EXTERIOR IP66 / POE+/ WDR 120 DB / DEFOG / EIS / HLC / 3D-DNR | 5249.82 |
| NVR Hikvision 16 Canales IP 1 Bahía AcuSearch | DS-7616NXI-K1(D) | [ACUSEARCH] NVR 12 MEGAPIXEL (4K) / 16 CANALES IP / ACUSENSE (EVITA FALSAS ALARMAS) / RECONOCIMIENTO FACIAL / 1 BAHÍA DE DISCO DURO / HDMI EN 4K / SIN PUERTOS POE+ | 3223.37 |
| Kit Cable Sensor Ironclad 1 Zona 75m | IROC-1Z-250-V2 | KIT DE CABLE SENSOR PARA CERCAS CICLÓNICAS IRONCLAD / 75 METROS / 1 ZONA / SIN FALSAS ALARMAS POR VIENTO / TODO INCLUIDO/TARJETA LPU400/ CALIBRACIÓN POR SOFTWARE | 39050.61 |
| Cable Sensor Micalert 152m Rollo | MIC-500 | CABLE SENSOR PARA SENSOR PERIMETRAL MICALERT, ROLLO DE 152 MTS DE CABLE /REQUIERE LPU-400 | 22607.41 |
| Barrera Vehicular Izquierda Hikvision Brazo 4m | DS-TMG300-DL/A(4M) | BARRERA VEHICULAR IZQUIERDA / BRAZO ILUMINADO ROJO/VERDE DE 4 MTS INCLUIDO / 3 SEG PARA APERTURA / CIERRE AUTOMÁTICO CON TIEMPO CONFIGURABLE / 2,500,000 MCBF / COMPATIBLE CON CUALQUIER CONTROL DE ACCESO | 13061.08 |
| Soporte Piso para Lector Proximidad PTR 2" | PISOSOPORT | SOPORTE DE PISO PARA LECTOLES DE PROXIMIDAD FABRICADO EN PTR DE 2" FONDO PRIMARIO Y PINTURA NEGRA/BLANCA. | 1600.00 |
| Microcontrolador Select-Alert con Sirena/Estrobo Rojo | STI-SA5500-R | MICROCONTROLADOR SELECT-ALERT CON ALARMA SIRENA/ESTROBO PARA NOTIFICAR ENTRADAS/SALIDAS NO AUTORIZADAS Y EMERGENCIAS, COLOR ROJO | 1948.75 |
| Torniquete Doble Cuerpo Completo XT-200-C | XT-200-C | Torniquete Doble / Cuerpo Completo / Interior/Exterior / 100% Acero con Pintura Gris / EJE CENTRAL con Pintura Gris / Acabado de Lujo / Alto Tráfico | 185218.16 |
| Torniquete Sencillo Cuerpo Completo XT-100-C | XT-100-C | Torniquete Sencillo / Cuerpo Completo / Interior/Exterior / 100% Acero con Pintura Gris / EJE CENTRAL con Pintura Gris / Acabado de Lujo / Alto Tráfico | 99022.54 |
| Kit Videoportero IP + Switch PoE Hikvision | DS-KIS603-P/S | KIT DE VIDEOPORTERO IP + SWITCH POE POE ESTANDAR CON LLAMADA A APP DE SMARTPHONE (HIKCONNECT) / APERTURA CON TARJETA MIFARE / FRENTE DE CALLE IP65 / SOPORTA 1 DEPARTAMENTO | 5186.05 |
| Auriculares Profesionales Engage 75 Stereo | ENGAGE-75-STEREO | ENGAGE 75 STEREO, AURICULARES PROFESIONALES CON GRAN POTENCIA, CONEXIÓN CON HASTA 5 DISPOSITIVOS A LA VEZ. | 8427.93 |
| Cámara Bala Hikvision 6MP Dual Light + ColorVu | DS-2CD1067G2H-LIUF | [DUAL LIGHT + COLORVU] BALA IP 6 MEGAPIXEL / LENTE 2.8 MM / 30 MTS IR + 30 MTS LUZ BLANCA / MICRÓFONO INTEGRADO / ACUSENSE LITE / EXTERIOR IP67 / WDR 120 DB / POE / MICRO SD | 2083.83 |
| Cámara Bala Hikvision 8MP (4K) Dual Light + ColorVu | DS-2CD2087G2H-LIU | [DUAL LIGHT + COLORVU] BALA IP 8 MEGAPIXEL (4K) / LENTE 2.8 MM / 40 MTS IR + 40 MTS LUZ BLANCA / MICROFONO INTEGRADO / EXTERIOR IP67 / WDR 130 DB / ACUSENSE (FILTRO DE FALSAS ALARMAS) / CAPTURA FACIAL / POE / METAL / ACUSEARCH | 4488.62 |
| Switch GigaBit PoE+ Administrable 4 Puertos PoE+ 45W | DS-3E1505P-EI/M | SWITCH GIGABIT POE+ / ADMINISTRABLE / 4 PUERTOS 1000 MBPS POE+ / 1 PUERTO 1000 MBPS UPLINK / CONFIGURACIÓN NUBE HIK-PARTNERPRO / MODO EXTENDIDO HASTA 300 METROS / 45 WATTS | 781.49 |
| Caja Conexiones Impermeable IP65 100x100x70mm | LP-WBX-100 | CAJA DE CONEXIONES IMPERMEABLE IP65, 7 ENTRADAS, DIMENSIONES 100 X 100 X 70 MM, PARA INSTALACIONES INDUSTRIALES, COMERCIALES Y RESIDENCIALES, INCLUYE TORNILLERÍA PARA SU INSTALACIÓN | 79.05 |
| Cámara WiFi PT Exterior Tenda 5MP | TENDA RH7L | TENDA RH7L-WCAV 4MP CÁMARA PAN/TILT WI-FI PARA EXTERIORES CÁMARA POE INTEGRA CÁMARA WIFI 360 INALÁMBRICA 5MP ICR IP65 | 1196.01 |
