| Nombre | Modelo | DESCRIPCION | PRECIO |
| Disco Duro 2.5" 1TB WD10SPZX | WD10SPZX | DISCO DURO 2.5 1TB | 2450.00 |
| Contacto Magnético Inalámbrico PG9309 | PG9309 | DSC PG9309 CONTACTO MAGNÉTICO INALÁMBRICO DE PUERTA/VENTANA POWERG C/ENTRADA AUXILIAR COMPATIBLE CON NEO, | 1160.69 |
| Contacto Magnético Inalámbrico Largo Alcance PG9945E | PG9945E | DSC PG9945E - CONTACTO MAGNÉTICO INALÁMBRICO DE PUERTA/VENTANA POWER G C/ENTRADA AUXILIAR RANGO EXTENDIDO COMPATIBLE CON NEO, PRO QOLSYS E IOTEGA | 1296.30 |
| DVR Híbrido 8 Canales DVR-208Q-K1(C)(S) | DVR-208Q-K1(C)(S) | DVR 4 MEGAPIXEL / 8 CANALES TVI / AHD / CVI / CVBS + 4 CANALES IP / 1 HDD / H.265+ / SALIDA EN FULL HD / AUDIO POR COAXITRON | 2410.53 |
| Energizador para Cerco RPC1600DKX | RPC1600DKX | ENERGIZADOR ATL PARA CERCO ELECTRICO | 3900.00 |
| Gabinete de Acero GOF01XTV2 | GOF01XTV2 | GABINETE DE ACERO P/FTE SYSRMTXT /PSP4000S | 379.45 |
| Gabinete de Pared 4U SR-1904-GFP | SR-1904-GFP | GABINETE DE MONTAJE EN PARED, CON PUERTA DE CRISTAL, CUERPO FIJO CON RACK, DE 19IN, 4UR, 535 MM DE PROFUNDIDAD, COLOR NEGRO | 4000.00 |
| Guías para Puerta Abatible RAIL-GARAGE | RAIL-GARAGE | GUIAS PARA APERTURA DE PUERTA ABATIBLE AL EXTERIOR. INCLUYE: 4 RIELES AJUSTABLES EN CALIBRE 16. | 2220.00 |
| Kit de Audio Portero 2 Auriculares KDP-602-A/D | KDP-602-A/D | KIT DE AUDIO PORTERO CON 2 AURICULARES Y FRENTE DE CALLE | 2030.00 |
| Kit de Audio Portero 1 Auricular KDP-601A1M/MS2D | KDP-601A1M/MS2D | KIT DE AUDIO PORTERO CON UN AURICULAR (EXPANDIBLE HASTA 3 AURICULARES) | 845.13 |
